x,y
1553.31,0.16338
1553.38,0.16338
1553.46,0.163154
1553.53,0.163028
1553.61,0.162442
1553.68,0.162526
1553.76,0.162576
1553.84,0.162526
1553.91,0.162526
1553.99,0.162526
1554.06,0.16249
1554.14,0.162576
1554.21,0.162694
1554.29,0.162677
1554.36,0.1624
1554.44,0.162945
1554.52,0.164033
1554.59,0.164535
1554.67,0.16559
1554.74,0.16554
1554.82,0.16554
1554.89,0.165707
1554.97,0.165707
1555.04,0.165863
1555.12,0.16554
1555.2,0.165666
1555.27,0.164499
1555.35,0.164069
1555.42,0.163028
1555.5,0.159763
1555.57,0.158759
1555.65,0.155601
1555.72,0.154489
1555.8,0.153879
1555.88,0.153149
1555.95,0.152803
1556.03,0.152085
1556.1,0.152312
1556.18,0.152329
1556.25,0.152145
1556.33,0.152228
1556.4,0.15248
1556.48,0.15047
1556.56,0.149968
1556.63,0.149717
1556.71,0.147959
1556.78,0.147833
1556.86,0.148109
1556.93,0.148126
1557.01,0.147923
1557.08,0.147959
1557.16,0.147959
1557.24,0.147959
1557.31,0.147959
1557.39,0.147959
1557.46,0.147959
1557.54,0.147959
1557.61,0.148712
1557.69,0.147607
1557.76,0.147607
1557.84,0.147607
1557.92,0.147607
1557.99,0.147959
1558.07,0.147931
1558.14,0.147808
1558.22,0.147708
1558.29,0.148294
1558.37,0.14821
1558.44,0.148838
1558.52,0.149968
1558.6,0.150219
1558.67,0.151224
1558.75,0.151475
1558.82,0.151475
1558.9,0.151726
1558.97,0.151726
1559.05,0.152005
1559.13,0.151525
1559.2,0.151224
1559.28,0.151224
1559.35,0.15047
1559.43,0.150018
1559.5,0.147708
1559.58,0.147205
1559.65,0.144794
1559.73,0.14394
1559.81,0.143061
1559.88,0.14281
1559.96,0.143258
1560.03,0.143043
1560.11,0.142935
1560.18,0.142768
1560.26,0.142785
1560.33,0.142601
1560.41,0.142684
1560.49,0.141429
1560.56,0.141177
1560.64,0.140926
1560.71,0.139294
1560.79,0.139294
1560.86,0.139587
1560.94,0.139587
1561.01,0.139383
1561.09,0.139419
1561.17,0.139369
1561.24,0.139369
1561.32,0.139252
1561.39,0.139252
1561.47,0.139042
1561.54,0.138666
1561.62,0.137661
1561.69,0.138465
1561.77,0.138465
1561.85,0.138465
1561.92,0.138465
1562,0.138163
1562.07,0.138163
1562.15,0.138415
1562.22,0.138465
1562.3,0.138465
1562.37,0.138465
1562.45,0.138289
1562.53,0.138666
1562.6,0.138666
1562.68,0.139469
1562.75,0.139469
1562.83,0.139469
1562.9,0.13967
1562.98,0.13967
1563.05,0.139754
1563.13,0.13967
1563.21,0.13967
1563.28,0.139796
1563.36,0.139796
1563.43,0.139871
1563.51,0.139922
1563.58,0.139922
1563.66,0.140508
1563.74,0.140926
1563.81,0.140926
1563.89,0.140876
1563.96,0.140876
1564.04,0.140675
1564.11,0.140675
1564.19,0.140675
1564.26,0.140675
1564.34,0.140474
1564.42,0.140675
1564.49,0.138917
1564.57,0.138415
1564.64,0.137912
1564.72,0.137159
1564.79,0.137159
1564.87,0.136958
1564.94,0.136958
1565.02,0.136405
1565.1,0.136433
1565.17,0.136782
1565.25,0.136782
1565.32,0.136556
1565.4,0.136556
1565.47,0.136556
1565.55,0.135903
1565.62,0.135903
1565.7,0.136154
1565.78,0.136154
1565.85,0.136154
1565.93,0.135953
1566,0.135568
1566.08,0.135429
1566.15,0.135953
1566.23,0.136154
1566.3,0.136154
1566.38,0.136154
1566.46,0.135652
1566.53,0.135903
1566.61,0.135903
1566.68,0.136456
1566.76,0.13607
1566.83,0.136154
1566.91,0.136154
1566.98,0.136154
1567.06,0.136369
1567.14,0.13607
1567.21,0.13607
1567.29,0.135903
1567.36,0.135903
1567.44,0.13628
1567.51,0.134647
1567.59,0.134396
1567.66,0.132638
1567.74,0.132638
1567.82,0.132638
1567.89,0.132738
1567.97,0.132722
1568.04,0.132638
1568.12,0.132638
1568.19,0.132336
1568.27,0.132336
1568.35,0.132336
1568.42,0.132261
1568.5,0.132261
1568.57,0.131884
1568.65,0.131884
1568.72,0.131834
1568.8,0.131759
1568.87,0.131633
1568.95,0.132052
1569.03,0.131382
1569.1,0.131418
1569.18,0.131633
1569.25,0.131432
1569.33,0.131432
1569.4,0.131432
1569.48,0.130963
1569.55,0.130629
1569.63,0.130377
1569.71,0.130428
1569.78,0.130428
1569.86,0.130428
1569.93,0.130377
1570.01,0.130043
1570.08,0.130252
1570.16,0.130026
1570.23,0.130001
1570.31,0.129038
1570.39,0.128787
1570.46,0.128117
1570.54,0.125605
1570.61,0.125103
1570.69,0.122792
1570.76,0.12234
1570.84,0.121788
1570.91,0.121252
1570.99,0.120917
1571.07,0.120783
1571.14,0.120833
1571.22,0.120959
1571.29,0.120783
1571.37,0.120783
1571.44,0.120783
1571.52,0.12008
1571.59,0.12008
1571.67,0.119577
1571.75,0.119979
1571.82,0.119979
1571.9,0.119954
1571.97,0.119954
1572.05,0.119577
1572.12,0.119577
1572.2,0.119979
1572.27,0.12008
1572.35,0.12018
1572.43,0.12018
1572.5,0.119745
1572.58,0.120833
1572.65,0.121336
1572.73,0.122005
1572.8,0.12219
1572.88,0.122173
1572.95,0.12229
1573.03,0.12234
1573.11,0.122878
1573.18,0.120959
1573.26,0.119628
1573.33,0.118422
1573.41,0.117217
1573.48,0.115559
1573.56,0.110033
1573.64,0.108024
1573.71,0.10395
1573.79,0.102373
1573.86,0.100824
1573.94,0.0991497
1574.01,0.0981032
1574.09,0.0969729
1574.16,0.0957171
1574.24,0.0949637
1574.32,0.0945618
1574.39,0.0933132
1574.47,0.0927032
1574.54,0.0891869
1574.62,0.0881823
1574.69,0.0843431
1574.77,0.083482
1574.84,0.0829079
1574.92,0.0823338
1575,0.0810995
1575.07,0.080773
1575.15,0.0818315
1575.22,0.0829637
1575.3,0.0839126
1575.37,0.0848544
1575.45,0.0863125
1575.52,0.0909451
1575.6,0.0927032
1575.68,0.0964706
1575.75,0.099045
1575.83,0.0998753
